model_id,scenario_id,battery_id,retained_fraction,full_reference_tau_j_median,full_reference_tau_j_hdi_low,full_reference_tau_j_hdi_high,observed_end_cycle,post_transition_horizon_cycles,normalized_post_transition_horizon,cutoff_before_reference_tau,cutoff_before_reference_hdi_low,cutoff_inside_reference_hdi,availability_class,tau_shift_cycles,absolute_tau_shift_cycles,relative_tau_shift,tau_hdi_width_ratio,probability_delta_beta_positive,prediction_domain_raw,boundary_status,boundary_status_r0,boundary_status_changed,extrapolation_rmse,spearman_tau_shift,spearman_hdi_inflation
H1_hierarchical_h5_1,R4_truncate_90,11,0.9,928.8300985699102,880.3488067382998,974.8137717199372,996.0,67.1699014300898,0.0607322797740414,False,False,False,short_post_transition,-561.1032404566022,561.1032404566022,0.5073266188576874,0.2862235776626333,1.0,extrapolation,identified,boundary_sensitive,True,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,12,0.9,502.18059425108055,462.3267053307612,541.3941269610359,996.0,493.81940574891945,0.4464913252702707,False,False,False,long_post_transition,-89.79203175661792,89.79203175661792,0.0811862854942295,0.3552672784978739,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,13,0.9,435.9650631183242,410.67108980656496,463.0170693088105,1001.0,565.0349368816758,0.5081249432389171,False,False,False,long_post_transition,-10.999045321780898,10.999045321780898,0.0098912278073569,0.3846499120157654,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_90,14,0.9,351.7850184462518,324.7975674246435,376.2823776163491,1000.0,648.2149815537482,0.5839774608592326,False,False,False,long_post_transition,22.21448441068594,22.21448441068594,0.0200130490186359,0.3874535278099225,1.0,extrapolation,identified,identified,False,0.6927164088875811,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,1,0.8,556.123287169232,533.0397699937452,577.6560130279138,889.0,332.87671283076804,0.299619003448036,False,False,False,moderate_post_transition,12.1338625500606,12.1338625500606,0.0109215684518997,0.5003143827579175,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,2,0.8,579.1318741860437,559.9238690887914,598.1479785473354,885.0,305.86812581395634,0.276553459144626,False,False,False,moderate_post_transition,52.88319098459965,52.88319098459965,0.0478148200584083,0.5578574622945678,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,3,0.8,707.3768332804183,683.0051066445205,735.4344526187701,885.0,177.62316671958172,0.160599608245553,False,False,False,short_post_transition,-169.6240296663608,169.6240296663608,0.1533671154307059,0.7499355891926537,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,4,0.8,692.3455009241702,669.0920201542629,715.8970568842793,884.0,191.6544990758298,0.1732861655296833,False,False,False,moderate_post_transition,-197.8258880300491,197.8258880300491,0.1788660832098093,0.7170417427197489,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,5,0.8,537.4516766547381,518.9580638261215,555.4194946210371,886.0,348.5483233452619,0.3079048792802667,False,False,False,moderate_post_transition,9.13985253933447,9.13985253933447,0.0080740746813908,0.4824115372423431,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_80,6,0.8,447.4804693940059,431.20792129133054,464.1869344014371,879.0,431.5195306059941,0.3919341785703851,False,False,False,long_post_transition,29.489557138122905,29.489557138122905,0.0267843389083768,0.4735290975300339,1.0,extrapolation,identified,identified,False,0.6086777821655664,-0.7203044353074971,-0.35694164989939636
